SUBJECT,RELATION,OBJECT_PROPERTY
The Sisterhood of the Traveling Pants 2,HAS_CAST,Blake Lively
Drama,GENRE_OF,The Sisterhood of the Traveling Pants 2
The Sisterhood of the Traveling Pants 2,HAS_GENRE,Drama
Comedy,GENRE_OF,The Sisterhood of the Traveling Pants 2
The Sisterhood of the Traveling Pants 2,HAS_GENRE,Comedy
Adventure,GENRE_OF,The Sisterhood of the Traveling Pants 2
The Sisterhood of the Traveling Pants 2,HAS_GENRE,Adventure
Benedict Cumberbatch,CAST_IN,Wreckers
Wreckers,HAS_CAST,Benedict Cumberbatch
Drama,GENRE_OF,Wreckers
Wreckers,HAS_GENRE,Drama
Rob Schneider,CAST_IN,Judge Dredd
Judge Dredd,HAS_CAST,Rob Schneider
Diane Lane,CAST_IN,Judge Dredd
Judge Dredd,HAS_CAST,Diane Lane
Sylvester Stallone,CAST_IN,Judge Dredd
Judge Dredd,HAS_CAST,Sylvester Stallone
Science Fiction,GENRE_OF,Judge Dredd
Judge Dredd,HAS_GENRE,Science Fiction
Mystery,GENRE_OF,12
12,HAS_GENRE,Mystery
Drama,GENRE_OF,12
12,HAS_GENRE,Drama
Crime,GENRE_OF,12
12,HAS_GENRE,Crime
Morris Chestnut,CAST_IN,The Call
The Call,HAS_CAST,Morris Chestnut
Abigail Breslin,CAST_IN,The Call
The Call,HAS_CAST,Abigail Breslin
Halle Berry,CAST_IN,The Call
The Call,HAS_CAST,Halle Berry
Thriller,GENRE_OF,The Call
The Call,HAS_GENRE,Thriller
Crime,GENRE_OF,The Call
The Call,HAS_GENRE,Crime
Oliver Stone,DIRECTED,Heaven & Earth
Heaven & Earth,HAS_DIRECTOR,Oliver Stone
Tommy Lee Jones,CAST_IN,Heaven & Earth
Heaven & Earth,HAS_CAST,Tommy Lee Jones
Drama,GENRE_OF,Heaven & Earth
Heaven & Earth,HAS_GENRE,Drama
Action,GENRE_OF,Heaven & Earth
Heaven & Earth,HAS_GENRE,Action
War,GENRE_OF,Heaven & Earth
Heaven & Earth,HAS_GENRE,War
History,GENRE_OF,Heaven & Earth
Heaven & Earth,HAS_GENRE,History
misc,GENRE_OF,Without Permission
Without Permission,HAS_GENRE,misc
Zac Efron,CAST_IN,Charlie St. Cloud
Charlie St. Cloud,HAS_CAST,Zac Efron
Romance,GENRE_OF,Charlie St. Cloud
Charlie St. Cloud,HAS_GENRE,Romance
Drama,GENRE_OF,Charlie St. Cloud
Charlie St. Cloud,HAS_GENRE,Drama
Adventure,GENRE_OF,One Piece Film: Z
One Piece Film: Z,HAS_GENRE,Adventure
Action,GENRE_OF,One Piece Film: Z
One Piece Film: Z,HAS_GENRE,Action
Fantasy,GENRE_OF,One Piece Film: Z
One Piece Film: Z,HAS_GENRE,Fantasy
Animation,GENRE_OF,One Piece Film: Z
One Piece Film: Z,HAS_GENRE,Animation
Horror,GENRE_OF,The Human Centipede
The Human Centipede,HAS_GENRE,Horror
Helen Hunt,CAST_IN,Cast Away
Cast Away,HAS_CAST,Helen Hunt
Tom Hanks,CAST_IN,Cast Away
Cast Away,HAS_CAST,Tom Hanks
Drama,GENRE_OF,Cast Away
Cast Away,HAS_GENRE,Drama
Adventure,GENRE_OF,Cast Away
Cast Away,HAS_GENRE,Adventure
Sean Penn,CAST_IN,Dogtown and Z-Boys
Dogtown and Z-Boys,HAS_CAST,Sean Penn
Documentary,GENRE_OF,Dogtown and Z-Boys
Dogtown and Z-Boys,HAS_GENRE,Documentary
Michelle Yeoh,CAST_IN,Memoirs of a Geisha
Memoirs of a Geisha,HAS_CAST,Michelle Yeoh
History,GENRE_OF,Memoirs of a Geisha
Memoirs of a Geisha,HAS_GENRE,History
Romance,GENRE_OF,Memoirs of a Geisha
Memoirs of a Geisha,HAS_GENRE,Romance
Drama,GENRE_OF,Memoirs of a Geisha
Memoirs of a Geisha,HAS_GENRE,Drama
Thriller,GENRE_OF,Vertical Limit
Vertical Limit,HAS_GENRE,Thriller
Action,GENRE_OF,Vertical Limit
Vertical Limit,HAS_GENRE,Action
Adventure,GENRE_OF,Vertical Limit
Vertical Limit,HAS_GENRE,Adventure
Tom Green,DIRECTED,Freddy Got Fingered
Freddy Got Fingered,HAS_DIRECTOR,Tom Green
Tom Green,CAST_IN,Freddy Got Fingered
Freddy Got Fingered,HAS_CAST,Tom Green
Comedy,GENRE_OF,Freddy Got Fingered
Freddy Got Fingered,HAS_GENRE,Comedy
Danny Boyle,DIRECTED,Steve Jobs
Steve Jobs,HAS_DIRECTOR,Danny Boyle
Jeff Daniels,CAST_IN,Steve Jobs
Steve Jobs,HAS_CAST,Jeff Daniels
Seth Rogen,CAST_IN,Steve Jobs
Steve Jobs,HAS_CAST,Seth Rogen
Kate Winslet,CAST_IN,Steve Jobs
Steve Jobs,HAS_CAST,Kate Winslet
Michael Fassbender,CAST_IN,Steve Jobs
Steve Jobs,HAS_CAST,Michael Fassbender
History,GENRE_OF,Steve Jobs
Steve Jobs,HAS_GENRE,History
Drama,GENRE_OF,Steve Jobs
Steve Jobs,HAS_GENRE,Drama
Josh Brolin,CAST_IN,Hollow Man
Hollow Man,HAS_CAST,Josh Brolin
Kevin Bacon,CAST_IN,Hollow Man
Hollow Man,HAS_CAST,Kevin Bacon
Thriller,GENRE_OF,Hollow Man
Hollow Man,HAS_GENRE,Thriller
Science Fiction,GENRE_OF,Hollow Man
Hollow Man,HAS_GENRE,Science Fiction
Action,GENRE_OF,Hollow Man
Hollow Man,HAS_GENRE,Action
Fantasy,GENRE_OF,Woman on Top
Woman on Top,HAS_GENRE,Fantasy
Romance,GENRE_OF,Woman on Top
Woman on Top,HAS_GENRE,Romance
Drama,GENRE_OF,Woman on Top
Woman on Top,HAS_GENRE,Drama
Comedy,GENRE_OF,Woman on Top
Woman on Top,HAS_GENRE,Comedy
Documentary,GENRE_OF,The Seven Five
The Seven Five,HAS_GENRE,Documentary
Judi Dench,CAST_IN,The Best Exotic Marigold Hotel
The Best Exotic Marigold Hotel,HAS_CAST,Judi Dench
Comedy,GENRE_OF,The Best Exotic Marigold Hotel
The Best Exotic Marigold Hotel,HAS_GENRE,Comedy
Drama,GENRE_OF,The Best Exotic Marigold Hotel
The Best Exotic Marigold Hotel,HAS_GENRE,Drama
Drama,GENRE_OF,Lovers
Lovers,HAS_GENRE,Drama
Jason Statham,CAST_IN,The Transporter
The Transporter,HAS_CAST,Jason Statham
Thriller,GENRE_OF,The Transporter
The Transporter,HAS_GENRE,Thriller
Crime,GENRE_OF,The Transporter
The Transporter,HAS_GENRE,Crime
Action,GENRE_OF,The Transporter
The Transporter,HAS_GENRE,Action
Comedy,GENRE_OF,My Baby's Daddy
My Baby's Daddy,HAS_GENRE,Comedy
Documentary,GENRE_OF,Poverty Inc.
Poverty Inc.,HAS_GENRE,Documentary
Justin Long,CAST_IN,Drag Me to Hell
Drag Me to Hell,HAS_CAST,Justin Long
Thriller,GENRE_OF,Drag Me to Hell
Drag Me to Hell,HAS_GENRE,Thriller
Horror,GENRE_OF,Drag Me to Hell
Drag Me to Hell,HAS_GENRE,Horror
Leslie Nielsen,CAST_IN,Surf Ninjas
Surf Ninjas,HAS_CAST,Leslie Nielsen
Rob Schneider,CAST_IN,Surf Ninjas
Surf Ninjas,HAS_CAST,Rob Schneider
Family,GENRE_OF,Surf Ninjas
Surf Ninjas,HAS_GENRE,Family
Comedy,GENRE_OF,Surf Ninjas
Surf Ninjas,HAS_GENRE,Comedy
Adventure,GENRE_OF,Surf Ninjas
Surf Ninjas,HAS_GENRE,Adventure
Action,GENRE_OF,Surf Ninjas
Surf Ninjas,HAS_GENRE,Action
Lou Diamond Phillips,CAST_IN,Death Toll
Death Toll,HAS_CAST,Lou Diamond Phillips
Thriller,GENRE_OF,Death Toll
Death Toll,HAS_GENRE,Thriller
Adventure,GENRE_OF,Death Toll
Death Toll,HAS_GENRE,Adventure
Action,GENRE_OF,Death Toll
Death Toll,HAS_GENRE,Action
Judge Reinhold,CAST_IN,Beverly Hills Cop
Beverly Hills Cop,HAS_CAST,Judge Reinhold
Eddie Murphy,CAST_IN,Beverly Hills Cop
Beverly Hills Cop,HAS_CAST,Eddie Murphy
Crime,GENRE_OF,Beverly Hills Cop
Beverly Hills Cop,HAS_GENRE,Crime
Comedy,GENRE_OF,Beverly Hills Cop
Beverly Hills Cop,HAS_GENRE,Comedy
Action,GENRE_OF,Beverly Hills Cop
Beverly Hills Cop,HAS_GENRE,Action
Comedy,GENRE_OF,Beauty and the Bestie
Beauty and the Bestie,HAS_GENRE,Comedy
Action,GENRE_OF,Beauty and the Bestie
Beauty and the Bestie,HAS_GENRE,Action
Drama,GENRE_OF,Beauty and the Bestie
Beauty and the Bestie,HAS_GENRE,Drama
Colin Farrell,CAST_IN,Saving Mr. Banks
Saving Mr. Banks,HAS_CAST,Colin Farrell
Tom Hanks,CAST_IN,Saving Mr. Banks
Saving Mr. Banks,HAS_CAST,Tom Hanks
Emma Thompson,CAST_IN,Saving Mr. Banks
Saving Mr. Banks,HAS_CAST,Emma Thompson
History,GENRE_OF,Saving Mr. Banks
Saving Mr. Banks,HAS_GENRE,History
Drama,GENRE_OF,Saving Mr. Banks
Saving Mr. Banks,HAS_GENRE,Drama
Comedy,GENRE_OF,Saving Mr. Banks
Saving Mr. Banks,HAS_GENRE,Comedy
Drama,GENRE_OF,The Holy Mountain
The Holy Mountain,HAS_GENRE,Drama
Horror,GENRE_OF,The Tooth Fairy
The Tooth Fairy,HAS_GENRE,Horror
Drama,GENRE_OF,Deadroom
Deadroom,HAS_GENRE,Drama
Drama,GENRE_OF,The Square
The Square,HAS_GENRE,Drama
Comedy,GENRE_OF,Fatty Joins the Force
Fatty Joins the Force,HAS_GENRE,Comedy
Vincent Price,CAST_IN,The Great Mouse Detective
The Great Mouse Detective,HAS_CAST,Vincent Price
Mystery,GENRE_OF,The Great Mouse Detective
The Great Mouse Detective,HAS_GENRE,Mystery
Adventure,GENRE_OF,The Great Mouse Detective
The Great Mouse Detective,HAS_GENRE,Adventure
Family,GENRE_OF,The Great Mouse Detective
The Great Mouse Detective,HAS_GENRE,Family
Animation,GENRE_OF,The Great Mouse Detective
The Great Mouse Detective,HAS_GENRE,Animation
Chris Columbus,DIRECTED,Home Alone 2: Lost in New York
Home Alone 2: Lost in New York,HAS_DIRECTOR,Chris Columbus
Joe Pesci,CAST_IN,Home Alone 2: Lost in New York
Home Alone 2: Lost in New York,HAS_CAST,Joe Pesci
Macaulay Culkin,CAST_IN,Home Alone 2: Lost in New York
Home Alone 2: Lost in New York,HAS_CAST,Macaulay Culkin
Adventure,GENRE_OF,Home Alone 2: Lost in New York
Home Alone 2: Lost in New York,HAS_GENRE,Adventure
Family,GENRE_OF,Home Alone 2: Lost in New York
Home Alone 2: Lost in New York,HAS_GENRE,Family
Comedy,GENRE_OF,Home Alone 2: Lost in New York
Home Alone 2: Lost in New York,HAS_GENRE,Comedy
Alfred Hitchcock,DIRECTED,Dial M for Murder
Dial M for Murder,HAS_DIRECTOR,Alfred Hitchcock
Grace Kelly,CAST_IN,Dial M for Murder
Dial M for Murder,HAS_CAST,Grace Kelly
Crime,GENRE_OF,Dial M for Murder
Dial M for Murder,HAS_GENRE,Crime
Thriller,GENRE_OF,Dial M for Murder
Dial M for Murder,HAS_GENRE,Thriller
Animation,GENRE_OF,Maya the Bee
Maya the Bee,HAS_GENRE,Animation
Family,GENRE_OF,Maya the Bee
Maya the Bee,HAS_GENRE,Family
Romance,GENRE_OF,Secretary
Secretary,HAS_GENRE,Romance
Drama,GENRE_OF,Secretary
Secretary,HAS_GENRE,Drama
Comedy,GENRE_OF,Secretary
Secretary,HAS_GENRE,Comedy
Ron Howard,DIRECTED,Far and Away
Far and Away,HAS_DIRECTOR,Ron Howard
Nicole Kidman,CAST_IN,Far and Away
Far and Away,HAS_CAST,Nicole Kidman
Tom Cruise,CAST_IN,Far and Away
Far and Away,HAS_CAST,Tom Cruise
Western,GENRE_OF,Far and Away
Far and Away,HAS_GENRE,Western
Romance,GENRE_OF,Far and Away
Far and Away,HAS_GENRE,Romance
Drama,GENRE_OF,Far and Away
Far and Away,HAS_GENRE,Drama
Adventure,GENRE_OF,Far and Away
Far and Away,HAS_GENRE,Adventure
Terry Crews,CAST_IN,Norbit
Norbit,HAS_CAST,Terry Crews
Eddie Murphy,CAST_IN,Norbit
Norbit,HAS_CAST,Eddie Murphy
Comedy,GENRE_OF,Norbit
Norbit,HAS_GENRE,Comedy
Ken Foree,CAST_IN,From Beyond
From Beyond,HAS_CAST,Ken Foree
Science Fiction,GENRE_OF,From Beyond
From Beyond,HAS_GENRE,Science Fiction
Horror,GENRE_OF,From Beyond
From Beyond,HAS_GENRE,Horror
Tyler Perry,WROTE,Madea's Family Reunion
Madea's Family Reunion,HAS_WRITER,Tyler Perry
Tyler Perry,DIRECTED,Madea's Family Reunion
Madea's Family Reunion,HAS_DIRECTOR,Tyler Perry
Tyler Perry,CAST_IN,Madea's Family Reunion
Madea's Family Reunion,HAS_CAST,Tyler Perry
Romance,GENRE_OF,Madea's Family Reunion
Madea's Family Reunion,HAS_GENRE,Romance
Comedy,GENRE_OF,Madea's Family Reunion
Madea's Family Reunion,HAS_GENRE,Comedy
Drama,GENRE_OF,Madea's Family Reunion
Madea's Family Reunion,HAS_GENRE,Drama
Romance,GENRE_OF,Spetters
Spetters,HAS_GENRE,Romance
Drama,GENRE_OF,Spetters
Spetters,HAS_GENRE,Drama
Bella Thorne,CAST_IN,Amityville: The Awakening
Amityville: The Awakening,HAS_CAST,Bella Thorne
Horror,GENRE_OF,Amityville: The Awakening
Amityville: The Awakening,HAS_GENRE,Horror
Thriller,GENRE_OF,Amityville: The Awakening
Amityville: The Awakening,HAS_GENRE,Thriller
Dennis Quaid,CAST_IN,"Yours, Mine & Ours"
"Yours, Mine & Ours",HAS_CAST,Dennis Quaid
Romance,GENRE_OF,"Yours, Mine & Ours"
"Yours, Mine & Ours",HAS_GENRE,Romance
Family,GENRE_OF,"Yours, Mine & Ours"
"Yours, Mine & Ours",HAS_GENRE,Family
Comedy,GENRE_OF,"Yours, Mine & Ours"
"Yours, Mine & Ours",HAS_GENRE,Comedy
Lauren Graham,CAST_IN,Evan Almighty
Evan Almighty,HAS_CAST,Lauren Graham
Morgan Freeman,CAST_IN,Evan Almighty
Evan Almighty,HAS_CAST,Morgan Freeman
Steve Carell,CAST_IN,Evan Almighty
Evan Almighty,HAS_CAST,Steve Carell
Family,GENRE_OF,Evan Almighty
Evan Almighty,HAS_GENRE,Family
Comedy,GENRE_OF,Evan Almighty
Evan Almighty,HAS_GENRE,Comedy
Fantasy,GENRE_OF,Evan Almighty
Evan Almighty,HAS_GENRE,Fantasy
Joss Whedon,WROTE,Serenity
Serenity,HAS_WRITER,Joss Whedon
Joss Whedon,DIRECTED,Serenity
Serenity,HAS_DIRECTOR,Joss Whedon
Thriller,GENRE_OF,Serenity
Serenity,HAS_GENRE,Thriller
Adventure,GENRE_OF,Serenity
Serenity,HAS_GENRE,Adventure
Action,GENRE_OF,Serenity
Serenity,HAS_GENRE,Action
Science Fiction,GENRE_OF,Serenity
Serenity,HAS_GENRE,Science Fiction
Laurence Fishburne,CAST_IN,Apocalypse Now
Apocalypse Now,HAS_CAST,Laurence Fishburne
War,GENRE_OF,Apocalypse Now
Apocalypse Now,HAS_GENRE,War
Drama,GENRE_OF,Apocalypse Now
Apocalypse Now,HAS_GENRE,Drama
Salma Hayek Pinault,CAST_IN,Everly
Everly,HAS_CAST,Salma Hayek Pinault
Action,GENRE_OF,Everly
Everly,HAS_GENRE,Action
Thriller,GENRE_OF,Everly
Everly,HAS_GENRE,Thriller
Documentary,GENRE_OF,Jihad: A Story of the Others
Jihad: A Story of the Others,HAS_GENRE,Documentary
Ron Howard,CAST_IN,The Shootist
The Shootist,HAS_CAST,Ron Howard
Lauren Bacall,CAST_IN,The Shootist
The Shootist,HAS_CAST,Lauren Bacall
John Wayne,CAST_IN,The Shootist
The Shootist,HAS_CAST,John Wayne
Drama,GENRE_OF,The Shootist
The Shootist,HAS_GENRE,Drama
Western,GENRE_OF,The Shootist
The Shootist,HAS_GENRE,Western
Drama,GENRE_OF,The Danish Girl
The Danish Girl,HAS_GENRE,Drama
Romance,GENRE_OF,Cyrano de Bergerac
Cyrano de Bergerac,HAS_GENRE,Romance
History,GENRE_OF,Cyrano de Bergerac
Cyrano de Bergerac,HAS_GENRE,History
Comedy,GENRE_OF,Cyrano de Bergerac
Cyrano de Bergerac,HAS_GENRE,Comedy
Drama,GENRE_OF,Cyrano de Bergerac
Cyrano de Bergerac,HAS_GENRE,Drama
Michelle Rodriguez,CAST_IN,Fast & Furious
Fast & Furious,HAS_CAST,Michelle Rodriguez
Paul Walker,CAST_IN,Fast & Furious
Fast & Furious,HAS_CAST,Paul Walker
Vin Diesel,CAST_IN,Fast & Furious
Fast & Furious,HAS_CAST,Vin Diesel
Thriller,GENRE_OF,Fast & Furious
Fast & Furious,HAS_GENRE,Thriller
Drama,GENRE_OF,Fast & Furious
Fast & Furious,HAS_GENRE,Drama
Crime,GENRE_OF,Fast & Furious
Fast & Furious,HAS_GENRE,Crime
Action,GENRE_OF,Fast & Furious
Fast & Furious,HAS_GENRE,Action
Steve Zahn,CAST_IN,Night Train
Night Train,HAS_CAST,Steve Zahn
Danny Glover,CAST_IN,Night Train
Night Train,HAS_CAST,Danny Glover
Horror,GENRE_OF,Night Train
Night Train,HAS_GENRE,Horror
Crime,GENRE_OF,Night Train
Night Train,HAS_GENRE,Crime
Thriller,GENRE_OF,Night Train
Night Train,HAS_GENRE,Thriller
Jack Nicholson,CAST_IN,Psych-Out
Psych-Out,HAS_CAST,Jack Nicholson
Music,GENRE_OF,Psych-Out
Psych-Out,HAS_GENRE,Music
Thriller,GENRE_OF,Psych-Out
Psych-Out,HAS_GENRE,Thriller
Drama,GENRE_OF,Psych-Out
Psych-Out,HAS_GENRE,Drama
Thriller,GENRE_OF,Deranged
Deranged,HAS_GENRE,Thriller
Horror,GENRE_OF,Deranged
Deranged,HAS_GENRE,Horror
Crime,GENRE_OF,Deranged
Deranged,HAS_GENRE,Crime
Milla Jovovich,CAST_IN,Faces in the Crowd
Faces in the Crowd,HAS_CAST,Milla Jovovich
Crime,GENRE_OF,Faces in the Crowd
Faces in the Crowd,HAS_GENRE,Crime
Thriller,GENRE_OF,Faces in the Crowd
Faces in the Crowd,HAS_GENRE,Thriller
Thriller,GENRE_OF,Tiger Zinda Hai
Tiger Zinda Hai,HAS_GENRE,Thriller
Adventure,GENRE_OF,Tiger Zinda Hai
Tiger Zinda Hai,HAS_GENRE,Adventure
Action,GENRE_OF,Tiger Zinda Hai
Tiger Zinda Hai,HAS_GENRE,Action
Whoopi Goldberg,CAST_IN,Being Elmo: A Puppeteer's Journey
Being Elmo: A Puppeteer's Journey,HAS_CAST,Whoopi Goldberg
Documentary,GENRE_OF,Being Elmo: A Puppeteer's Journey
Being Elmo: A Puppeteer's Journey,HAS_GENRE,Documentary
Terry Crews,CAST_IN,Idiocracy
Idiocracy,HAS_CAST,Terry Crews
Dax Shepard,CAST_IN,Idiocracy
Idiocracy,HAS_CAST,Dax Shepard
Maya Rudolph,CAST_IN,Idiocracy
Idiocracy,HAS_CAST,Maya Rudolph
Luke Wilson,CAST_IN,Idiocracy
Idiocracy,HAS_CAST,Luke Wilson
Adventure,GENRE_OF,Idiocracy
Idiocracy,HAS_GENRE,Adventure
Science Fiction,GENRE_OF,Idiocracy
Idiocracy,HAS_GENRE,Science Fiction
Comedy,GENRE_OF,Idiocracy
Idiocracy,HAS_GENRE,Comedy
Thriller,GENRE_OF,Seed of Chucky
Seed of Chucky,HAS_GENRE,Thriller
Horror,GENRE_OF,Seed of Chucky
Seed of Chucky,HAS_GENRE,Horror
Comedy,GENRE_OF,Seed of Chucky
Seed of Chucky,HAS_GENRE,Comedy
Stanley Tucci,CAST_IN,A Midsummer Night's Dream
A Midsummer Night's Dream,HAS_CAST,Stanley Tucci
Kevin Kline,CAST_IN,A Midsummer Night's Dream
A Midsummer Night's Dream,HAS_CAST,Kevin Kline
Romance,GENRE_OF,A Midsummer Night's Dream
A Midsummer Night's Dream,HAS_GENRE,Romance
Comedy,GENRE_OF,A Midsummer Night's Dream
A Midsummer Night's Dream,HAS_GENRE,Comedy
Fantasy,GENRE_OF,A Midsummer Night's Dream
A Midsummer Night's Dream,HAS_GENRE,Fantasy
misc,GENRE_OF,When the Levees Broke
When the Levees Broke,HAS_GENRE,misc
Robert Townsend,DIRECTED,B*A*P*S
B*A*P*S,HAS_DIRECTOR,Robert Townsend
Halle Berry,CAST_IN,B*A*P*S
B*A*P*S,HAS_CAST,Halle Berry
Comedy,GENRE_OF,B*A*P*S
B*A*P*S,HAS_GENRE,Comedy
Ethel Merman,CAST_IN,"It's a Mad, Mad, Mad, Mad World"
"It's a Mad, Mad, Mad, Mad World",HAS_CAST,Ethel Merman
Milton Berle,CAST_IN,"It's a Mad, Mad, Mad, Mad World"
"It's a Mad, Mad, Mad, Mad World",HAS_CAST,Milton Berle
Spencer Tracy,CAST_IN,"It's a Mad, Mad, Mad, Mad World"
"It's a Mad, Mad, Mad, Mad World",HAS_CAST,Spencer Tracy
Comedy,GENRE_OF,"It's a Mad, Mad, Mad, Mad World"
"It's a Mad, Mad, Mad, Mad World",HAS_GENRE,Comedy
Adventure,GENRE_OF,"It's a Mad, Mad, Mad, Mad World"
"It's a Mad, Mad, Mad, Mad World",HAS_GENRE,Adventure
Action,GENRE_OF,"It's a Mad, Mad, Mad, Mad World"
"It's a Mad, Mad, Mad, Mad World",HAS_GENRE,Action
Action,GENRE_OF,Never Back Down: No Surrender
Never Back Down: No Surrender,HAS_GENRE,Action
Drama,GENRE_OF,Never Back Down: No Surrender
Never Back Down: No Surrender,HAS_GENRE,Drama
Adam Scott,CAST_IN,Leap Year
Leap Year,HAS_CAST,Adam Scott
Amy Adams,CAST_IN,Leap Year
Leap Year,HAS_CAST,Amy Adams
Comedy,GENRE_OF,Leap Year
Leap Year,HAS_GENRE,Comedy
Romance,GENRE_OF,Leap Year
Leap Year,HAS_GENRE,Romance
Emma Roberts,CAST_IN,We're the Millers
We're the Millers,HAS_CAST,Emma Roberts
Jennifer Aniston,CAST_IN,We're the Millers
We're the Millers,HAS_CAST,Jennifer Aniston
Crime,GENRE_OF,We're the Millers
We're the Millers,HAS_GENRE,Crime
Comedy,GENRE_OF,We're the Millers
We're the Millers,HAS_GENRE,Comedy
Clint Eastwood,DIRECTED,Sully
Sully,HAS_DIRECTOR,Clint Eastwood
Laura Linney,CAST_IN,Sully
Sully,HAS_CAST,Laura Linney
Tom Hanks,CAST_IN,Sully
Sully,HAS_CAST,Tom Hanks
History,GENRE_OF,Sully
Sully,HAS_GENRE,History
Drama,GENRE_OF,Sully
Sully,HAS_GENRE,Drama
Jodie Foster,CAST_IN,Elysium
Elysium,HAS_CAST,Jodie Foster
Matt Damon,CAST_IN,Elysium
Elysium,HAS_CAST,Matt Damon
Thriller,GENRE_OF,Elysium
Elysium,HAS_GENRE,Thriller
Drama,GENRE_OF,Elysium
Elysium,HAS_GENRE,Drama
Action,GENRE_OF,Elysium
Elysium,HAS_GENRE,Action
Science Fiction,GENRE_OF,Elysium
Elysium,HAS_GENRE,Science Fiction
Mike Flanagan,DIRECTED,Gerald's Game
Gerald's Game,HAS_DIRECTOR,Mike Flanagan
Thriller,GENRE_OF,Gerald's Game
Gerald's Game,HAS_GENRE,Thriller
Horror,GENRE_OF,Gerald's Game
Gerald's Game,HAS_GENRE,Horror
Miles Teller,CAST_IN,Fantastic Four
Fantastic Four,HAS_CAST,Miles Teller
Science Fiction,GENRE_OF,Fantastic Four
Fantastic Four,HAS_GENRE,Science Fiction
Adventure,GENRE_OF,Fantastic Four
Fantastic Four,HAS_GENRE,Adventure
Action,GENRE_OF,Fantastic Four
Fantastic Four,HAS_GENRE,Action
Ashton Kutcher,CAST_IN,Guess Who
Guess Who,HAS_CAST,Ashton Kutcher
Bernie Mac,CAST_IN,Guess Who
Guess Who,HAS_CAST,Bernie Mac
Romance,GENRE_OF,Guess Who
Guess Who,HAS_GENRE,Romance
Comedy,GENRE_OF,Guess Who
Guess Who,HAS_GENRE,Comedy
Eric Roberts,CAST_IN,Doctor Who
Doctor Who,HAS_CAST,Eric Roberts
Science Fiction,GENRE_OF,Doctor Who
Doctor Who,HAS_GENRE,Science Fiction
Adventure,GENRE_OF,Doctor Who
Doctor Who,HAS_GENRE,Adventure
TV Movie,GENRE_OF,Doctor Who
Doctor Who,HAS_GENRE,TV Movie
Chris Evans,CAST_IN,Snowpiercer
Snowpiercer,HAS_CAST,Chris Evans
Drama,GENRE_OF,Snowpiercer
Snowpiercer,HAS_GENRE,Drama
Science Fiction,GENRE_OF,Snowpiercer
Snowpiercer,HAS_GENRE,Science Fiction
Action,GENRE_OF,Snowpiercer
Snowpiercer,HAS_GENRE,Action
War,GENRE_OF,The Bridge on the River Kwai
The Bridge on the River Kwai,HAS_GENRE,War
History,GENRE_OF,The Bridge on the River Kwai
The Bridge on the River Kwai,HAS_GENRE,History
Drama,GENRE_OF,The Bridge on the River Kwai
The Bridge on the River Kwai,HAS_GENRE,Drama
Drama,GENRE_OF,S
S,HAS_GENRE,Drama
Comedy,GENRE_OF,S
S,HAS_GENRE,Comedy
Robert De Niro,CAST_IN,Once Upon a Time in America
Once Upon a Time in America,HAS_CAST,Robert De Niro
Crime,GENRE_OF,Once Upon a Time in America
Once Upon a Time in America,HAS_GENRE,Crime
Drama,GENRE_OF,Once Upon a Time in America
Once Upon a Time in America,HAS_GENRE,Drama
William Baldwin,CAST_IN,Flatliners
Flatliners,HAS_CAST,William Baldwin
Kevin Bacon,CAST_IN,Flatliners
Flatliners,HAS_CAST,Kevin Bacon
Julia Roberts,CAST_IN,Flatliners
Flatliners,HAS_CAST,Julia Roberts
Kiefer Sutherland,CAST_IN,Flatliners
Flatliners,HAS_CAST,Kiefer Sutherland
Horror,GENRE_OF,Flatliners
Flatliners,HAS_GENRE,Horror
Science Fiction,GENRE_OF,Flatliners
Flatliners,HAS_GENRE,Science Fiction
Drama,GENRE_OF,Flatliners
Flatliners,HAS_GENRE,Drama
Clint Eastwood,DIRECTED,Changeling
Changeling,HAS_DIRECTOR,Clint Eastwood
Angelina Jolie,CAST_IN,Changeling
Changeling,HAS_CAST,Angelina Jolie
Mystery,GENRE_OF,Changeling
Changeling,HAS_GENRE,Mystery
Drama,GENRE_OF,Changeling
Changeling,HAS_GENRE,Drama
Crime,GENRE_OF,Changeling
Changeling,HAS_GENRE,Crime
misc,GENRE_OF,Einstein Girl
Einstein Girl,HAS_GENRE,misc
Ben Affleck,DIRECTED,The Town
The Town,HAS_DIRECTOR,Ben Affleck
Blake Lively,CAST_IN,The Town
The Town,HAS_CAST,Blake Lively
Jeremy Renner,CAST_IN,The Town
The Town,HAS_CAST,Jeremy Renner
Ben Affleck,CAST_IN,The Town
The Town,HAS_CAST,Ben Affleck
Thriller,GENRE_OF,The Town
The Town,HAS_GENRE,Thriller
Drama,GENRE_OF,The Town
The Town,HAS_GENRE,Drama
Crime,GENRE_OF,The Town
The Town,HAS_GENRE,Crime
Documentary,GENRE_OF,13th
13th,HAS_GENRE,Documentary
Crime,GENRE_OF,Fever
Fever,HAS_GENRE,Crime
Mystery,GENRE_OF,Fever
Fever,HAS_GENRE,Mystery
Romance,GENRE_OF,The Bridesmaid
The Bridesmaid,HAS_GENRE,Romance
Thriller,GENRE_OF,The Bridesmaid
The Bridesmaid,HAS_GENRE,Thriller
Jason Statham,CAST_IN,Crank
Crank,HAS_CAST,Jason Statham
Crime,GENRE_OF,Crank
Crank,HAS_GENRE,Crime
Thriller,GENRE_OF,Crank
